genus_name,n
ACER,36062
PRUNUS,30683
FRAXINUS,7381
TILIA,6773
QUERCUS,6119
CARPINUS,5806
FAGUS,4808
MALUS,4173
MAGNOLIA,3899
CRATAEGUS,3864
ULMUS,2861
AESCULUS,2570
CORNUS,2315
PYRUS,2231
CERCIDIPHYLLUM,2062
PARROTIA,1968
PLATANUS,1727
LIQUIDAMBAR,1716
SORBUS,1673
BETULA,1643
STYRAX,1624
GLEDITSIA,1615
THUJA,1331
SYRINGA,1317
LIRIODENDRON,999
PINUS,747
PSEUDOTSUGA,733
CHAMAECYPARIS,713
NYSSA,603
ROBINIA,572
CATALPA,563
PICEA,481
CERCIS,438
METASEQUOIA,398
ZELKOVA,347
CEDRUS,334
STEWARTIA,297
GINKGO,242
CELTIS,231
AMELANCHIER,226
POPULUS,213
HIBISCUS,191
ILEX,191
ABIES,190
DAVIDIA,177
JUGLANS,164
TSUGA,143
SEQUOIADENDRON,134
CORYLUS,127
LABURNUM,105
ALNUS,74
JUNIPERUS,71
SALIX,69
CASTANEA,66
TAXUS,46
KOELREUTERIA,38
GYMNOCLADUS,37
CLADRASTIS,35
PTEROCARYA,31
CALOCEDRUS,29
RHUS,28
NOTHOFAGUS,26
OSTRYIA,20
MANGLIETIA,19
MESPILUS,19
CRYPTOMERIA,17
EUCOMMIA,17
RHAMNUS,17
SOPHORA,17
EUONYMUS,13
LARIX,12
TAXODIUM,11
TRACHYCARPUS,11
ARAUCARIA,10
ARBUTUS,10
FICUS,10
MORUS,9
PAULOWNIA,9
SEQUOIA,7
CHITALPA,5
LAURUS,5
PHELLODENDON,5
VIBURNUM,5
AILANTHUS,4
ARALIA,4
HIPPOPHAE,3
PTELEA,3
PTEROSTYRAX,3
SCIADOPITYS,3
CLERODENDRON,2
CUPRESSOCYPARIS   X,2
EUCALYPTUS,2
MICHELIA,2
OXYDENDRUM,2
ALBIZIA,1
HALESIA,1
KALOPANAX,1
